"Reason.for.absence","Month.of.absence","Day.of.the.week","Transportation.expense","Distance.from.Residence.to.Work","Service.time","Age","Work.load.Average.day.","Hit.target","Son","Pet","Weight","Height","Absenteeism.time.in.hours"
"26","7","3",0.657692307692308,0.659574468085106,0.521739130434783,0.230769230769231,0.239978412531084,0.769230769230769,0.5,0.5,0.653846153846154,0.700000000000001,4
"0","7","3",0,0.170212765957447,0.739130434782609,0.884615384615385,0.239978412531084,0.769230769230769,0.25,0,0.807692307692308,0.200000000000002,0
"23","7","4",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.239978412531084,0.769230769230769,0,0,0.634615384615385,0.500000000000001,2
"7","7","5",0.619230769230769,0,0.565217391304348,0.461538461538462,0.239978412531084,0.769230769230769,0.5,0,0.230769230769231,0.300000000000002,4
"23","7","5",0.657692307692308,0.659574468085106,0.521739130434783,0.230769230769231,0.239978412531084,0.769230769230769,0.5,0.5,0.653846153846154,0.700000000000001,2
"23","7","6",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.239978412531084,0.769230769230769,0,0,0.634615384615385,0.500000000000001,4.56619091275776
"22","7","6",0.934615384615385,1,0.0869565217391304,0.0384615384615385,0.239978412531084,0.769230769230769,0.25,0.5,0.461538461538462,0.700000000000001,8
"23","7","6",0.546153846153846,0.957446808510638,0.434782608695652,0.346153846153846,0.239978412531084,0.769230769230769,1,0,0.173076923076923,0.300000000000002,4
"19","7","2",0.142307692307692,0.148936170212766,0.565217391304348,0.269230769230769,0.239978412531084,0.769230769230769,0.5,0,0.75,0.700000000000004,40
"22","7","2",0.45,0.127659574468085,0.565217391304348,0.384615384615385,0.239978412531084,0.769230769230769,0.25,0.5,0.615384615384615,0.700000000000001,8
"1","7","2",0.546153846153846,0.957446808510638,0.434782608695652,0.346153846153846,0.239978412531084,0.769230769230769,1,0,0.173076923076923,0.300000000000002,8
"1","7","3",0.546153846153846,0.957446808510638,0.434782608695652,0.346153846153846,0.239978412531084,0.769230769230769,1,0,0.173076923076923,0.300000000000002,8
"11","7","4",0.546153846153846,0.957446808510638,0.434782608695652,0.346153846153846,0.239978412531084,0.769230769230769,1,0,0.173076923076923,0.300000000000002,8
"11","7","4",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.239978412531084,0.769230769230769,0,0,0.634615384615385,0.500000000000001,1
"23","7","4",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.239978412531084,0.769230769230769,0,0,0.634615384615385,0.500000000000001,4
"14","7","6",0.492307692307692,0.425531914893617,0.652173913043478,0.538461538461538,0.239978412531084,0.769230769230769,0,0,0.211538461538462,0.500000000000001,3.01730286020995
"23","7","6",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.239978412531084,0.769230769230769,0,0,0.634615384615385,0.500000000000001,2
"21","7","2",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0.239978412531084,0.769230769230769,0,0,0.634615384615385,0.500000000000001,8
"11","7","5",0.273076923076923,0.51063829787234,0.521739130434783,0.230769230769231,0.239978412531084,0.769230769230769,0.5,1,0.25,0.200000000000002,8
"23","8","4",0.5,0.425531914893617,0.565217391304348,0.769230769230769,0,0.384615384615385,0.5,0.5,0.576923076923077,2.84217094304039e-15,2
"10","8","4",0.815384615384615,0.234042553191489,0.130434782608696,0.0384615384615385,0,0.384615384615385,0,0,0.538461538461538,0.401115519696249,10.3445238452895
"11","8","2",0.234615384615385,0.978723404255319,0.739130434782609,0.423076923076923,0,0.384615384615385,0,0,0.634615384615385,0.500000000000001,1
